Wed Jun 25 16:22:40 2014    region

         3936027 function calls in 61.922 seconds

Stephen Notes:
Video file local, image chunk size (1,19,19)
Morphology operations - 51%
Video read - 24%
Writing measurements - 12%

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17500    0.018    0.000    0.162    0.000 fromnumeric.py:1762(any)
    30025    0.103    0.000    0.160    0.000 morphology.py:47(_center_is_true)
    33628    0.148    0.000    0.148    0.000 {method 'astype' of 'numpy.ndarray' objects}
   431505    0.136    0.000    0.136    0.000 {isinstance}
     3476    0.100    0.000    0.130    0.000 numeric.py:1682(indices)
    31873    0.129    0.000    0.129    0.000 {h5py.h5s.create_simple}
    15928    0.038    0.000    0.122    0.000 selections.py:144(__init__)
    55589    0.089    0.000    0.120    0.000 _ni_support.py:55(_normalize_sequence)
     1074    0.118    0.000    0.118    0.000 {min}
    17502    0.013    0.000    0.117    0.000 {method 'any' of 'numpy.ndarray' objects}
    13962    0.021    0.000    0.113    0.000 fromnumeric.py:1621(sum)
     2148    0.106    0.000    0.111    0.000 fitpack2.py:127(__init__)
     1201    0.004    0.000    0.106    0.000 group.py:132(require_group)
    17502    0.014    0.000    0.104    0.000 _methods.py:31(_any)
     1074    0.086    0.000    0.103    0.000 {method 'find_costs' of 'skimage.graph._mcp.MCP' objects}
    15163    0.014    0.000    0.099    0.000 _methods.py:23(_sum)
    41177    0.046    0.000    0.096    0.000 type_check.py:237(iscomplexobj)
     4296    0.013    0.000    0.078    0.000 fitpack2.py:231(__call__)
     2402    0.053    0.000    0.076    0.000 arraysetops.py:284(in1d)
    15928    0.050    0.000    0.072    0.000 selections.py:468(_expand_ellipsis)
     1074    0.041    0.000    0.070    0.000 function_base.py:1122(unwrap)
     8750    0.068    0.000    0.068    0.000 {method 'take' of 'numpy.ndarray' objects}
     4296    0.020    0.000    0.058    0.000 fitpack.py:515(splev)
     1074    0.049    0.000    0.058    0.000 {method 'traceback' of 'skimage.graph._mcp.MCP' objects}
     1201    0.008    0.000    0.056    0.000 __init__.py:550(calculateCentroid)
     1204    0.053    0.000    0.056    0.000 group.py:286(__contains__)
    87762    0.056    0.000    0.056    0.000 {zip}
     1202    0.004    0.000    0.052    0.000 genericpath.py:26(isfile)
     4668    0.011    0.000    0.052    0.000 dataset.py:252(resize)
    31974    0.021    0.000    0.051    0.000 numeric.py:462(asanyarray)
    15928    0.050    0.000    0.050    0.000 {h5py.h5t.check_dtype}
     1202    0.004    0.000    0.048    0.000 files.py:29(make_fapl)
     1202    0.047    0.000    0.047    0.000 {nt.stat}
     1201    0.018    0.000    0.042    0.000 arraysetops.py:93(unique)
     3603    0.041    0.000    0.041    0.000 {cv2.getStructuringElement}
     1219    0.041    0.000    0.041    0.000 {h5py.h5p.create}
   234826    0.040    0.000    0.040    0.000 base.py:211(id)
    38116    0.036    0.000    0.039    0.000 base.py:91(_e)
     1201    0.013    0.000    0.034    0.000 wormimageprocessor.py:115(<dictcomp>)
     1074    0.010    0.000    0.034    0.000 __init__.py:511(outlineWorm)
     3349    0.026    0.000    0.034    0.000 __init__.py:606(toCroppedCoordinates)
     2406    0.005    0.000    0.034    0.000 fromnumeric.py:1842(all)
    15928    0.033    0.000    0.033    0.000 {method 'select_hyperslab' of 'h5py.h5s.SpaceID' objects}
     1201    0.033    0.000    0.033    0.000 {cv2.threshold}
     3603    0.029    0.000    0.029    0.000 {method 'copy' of 'numpy.ndarray' objects}
   319164    0.029    0.000    0.029    0.000 {len}
     1201    0.029    0.000    0.029    0.000 {numpy.core.multiarray.where}
    34508    0.028    0.000    0.028    0.000 {method 'get_nfilters' of 'h5py.h5p.PropDCID' objects}
     1074    0.002    0.000    0.027    0.000 fromnumeric.py:2632(mean)
     1074    0.010    0.000    0.025    0.000 _methods.py:49(_mean)
     2406    0.004    0.000    0.025    0.000 {method 'all' of 'numpy.ndarray' objects}
     9227    0.024    0.000    0.024    0.000 {numpy.core.multiarray.arange}
     2275    0.019    0.000    0.024    0.000 __init__.py:611(toRegionCoordinates)
     4423    0.014    0.000    0.022    0.000 twodim_base.py:65(flipud)
    17256    0.014    0.000    0.022    0.000 selections.py:537(_translate_slice)
     4668    0.005    0.000    0.022    0.000 dataset.py:181(chunks)
     1201    0.005    0.000    0.021    0.000 numeric.py:78(zeros_like)
     4423    0.021    0.000    0.021    0.000 {numpy.core.multiarray.copyto}
    35037    0.021    0.000    0.021    0.000 {cv2.contourArea}
    38002    0.021    0.000    0.021    0.000 {range}
     2406    0.004    0.000    0.021    0.000 _methods.py:35(_all)
   203379    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
    15928    0.008    0.000    0.020    0.000 selections.py:165(nselect)
    15928    0.012    0.000    0.020    0.000 dataset.py:466(<genexpr>)
    49109    0.020    0.000    0.020    0.000 selections.py:300(<genexpr>)
    49109    0.014    0.000    0.019    0.000 dataset.py:467(<genexpr>)
     4296    0.009    0.000    0.019    0.000 shape_base.py:8(atleast_1d)
     4668    0.019    0.000    0.019    0.000 {method 'set_extent' of 'h5py.h5d.DatasetID' objects}
    36894    0.018    0.000    0.018    0.000 {h5py.h5i.get_type}
     1201    0.002    0.000    0.017    0.000 {method 'sum' of 'numpy.ndarray' objects}
    42251    0.017    0.000    0.017    0.000 {issubclass}
    12012    0.017    0.000    0.017    0.000 {method 'get_filter' of 'h5py.h5p.PropDCID' objects}
    38114    0.017    0.000    0.017    0.000 base.py:240(__init__)
     2148    0.002    0.000    0.017    0.000 _methods.py:15(_amax)
     1074    0.014    0.000    0.016    0.000 function_base.py:8(linspace)
     1201    0.012    0.000    0.015    0.000 __init__.py:498(cropToWorm)
    15928    0.008    0.000    0.014    0.000 {sum}
     1201    0.013    0.000    0.013    0.000 {method 'sort' of 'numpy.ndarray' objects}
     1074    0.013    0.000    0.013    0.000 {cv2.drawContours}
     2275    0.013    0.000    0.013    0.000 {cv2.findNonZero}
    10740    0.009    0.000    0.013    0.000 index_tricks.py:490(__next__)
    95568    0.013    0.000    0.013    0.000 selections.py:160(shape)
     1074    0.011    0.000    0.013    0.000 function_base.py:939(diff)
    15928    0.012    0.000    0.012    0.000 {method 'get_select_npoints' of 'h5py.h5s.SpaceID' objects}
     4668    0.011    0.000    0.011    0.000 {method 'get_chunk' of 'h5py.h5p.PropDCID' objects}
     1201    0.011    0.000    0.011    0.000 {cv2.moments}
     4296    0.011    0.000    0.011    0.000 {scipy.interpolate._fitpack._spl_}
     5751    0.011    0.000    0.011    0.000 {numpy.core.multiarray.empty}
    15928    0.010    0.000    0.010    0.000 {method 'select_all' of 'h5py.h5s.SpaceID' objects}
    33184    0.010    0.000    0.010    0.000 selections.py:264(<genexpr>)
     3606    0.006    0.000    0.009    0.000 group.py:27(__init__)
     7645    0.009    0.000    0.009    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1201    0.005    0.000    0.008    0.000 fromnumeric.py:1072(squeeze)
     8271    0.008    0.000    0.008    0.000 {max}
     1201    0.008    0.000    0.008    0.000 wormimageprocessor.py:38(cropImageToRegion)
    17256    0.008    0.000    0.008    0.000 {method 'pop' of 'list' objects}
    17256    0.007    0.000    0.007    0.000 {method 'indices' of 'slice' objects}
    15925    0.007    0.000    0.007    0.000 selections.py:524(_translate_int)
     1202    0.007    0.000    0.007    0.000 {method 'encode' of 'str' objects}
     1074    0.001    0.000    0.007    0.000 _methods.py:19(_amin)
     1201    0.007    0.000    0.007    0.000 {numpy.core.multiarray.concatenate}
     1074    0.002    0.000    0.006    0.000 numeric.py:136(ones)
    15931    0.006    0.000    0.006    0.000 selections.py:471(<genexpr>)
        1    0.001    0.001    0.006    0.006 __init__.py:407(saveConfiguration)
     4668    0.005    0.000    0.005    0.000 {method 'get_layout' of 'h5py.h5p.PropDCID' objects}
    36911    0.005    0.000    0.005    0.000 base.py:79(_lapl)
     1201    0.005    0.000    0.005    0.000 {numpy.core.multiarray.empty_like}
     2148    0.004    0.000    0.004    0.000 fitpack2.py:166(_reset_class)
     1074    0.003    0.000    0.004    0.000 _methods.py:39(_count_reduce_items)
     1074    0.004    0.000    0.004    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
     9951    0.004    0.000    0.004    0.000 _ni_support.py:38(_extend_mode_to_code)
     1201    0.002    0.000    0.004    0.000 wormimageprocessor.py:132(expectedWormAreaPixels)
     1201    0.004    0.000    0.004    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1201    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
     6005    0.004    0.000    0.004    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     1201    0.004    0.000    0.004    0.000 {cv2.boundingRect}
     1201    0.003    0.000    0.003    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
     1074    0.002    0.000    0.003    0.000 index_tricks.py:487(__init__)
    10740    0.003    0.000    0.003    0.000 {next}
     1201    0.003    0.000    0.003    0.000 __init__.py:475(__init__)
       17    0.000    0.000    0.003    0.000 group.py:44(create_dataset)
     1202    0.003    0.000    0.003    0.000 {method 'set_fclose_degree' of 'h5py.h5p.PropFAID' objects}
     8750    0.003    0.000    0.003    0.000 {getattr}
        1    0.003    0.003    0.003    0.003 {method 'open' of 'cv2.VideoCapture' objects}
    15928    0.003    0.000    0.003    0.000 dataset.py:469(<genexpr>)
    12012    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     1093    0.002    0.000    0.002    0.000 {abs}
     1201    0.001    0.000    0.002    0.000 stat.py:49(S_ISREG)
    15928    0.002    0.000    0.002    0.000 {method 'reverse' of 'list' objects}
       17    0.000    0.000    0.002    0.000 dataset.py:36(make_new_dset)
     2402    0.001    0.000    0.001    0.000 {time.clock}
     1201    0.001    0.000    0.001    0.000 wormimageprocessor.py:124(expectedWormLengthPixels)
       17    0.000    0.000    0.001    0.000 filters.py:71(generate_dcpl)
     1201    0.001    0.000    0.001    0.000 index_tricks.py:630(__getitem__)
        1    0.001    0.001    0.001    0.001 {h5py.h5f.create}
     2315    0.001    0.000    0.001    0.000 __init__.py:380(<lambda>)
     1074    0.001    0.000    0.001    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.001    0.000 filters.py:246(guess_chunk)
     1201    0.001    0.000    0.001    0.000 {nt.getpid}
     3476    0.001    0.000    0.001    0.000 selections.py:236(mshape)
     1201    0.001    0.000    0.001    0.000 stat.py:24(S_IFMT)
     1201    0.001    0.000    0.001    0.000 wormimageprocessor.py:128(expectedWormWidthPixels)
       17    0.000    0.000    0.000    0.000 {h5py.h5d.create}
     1202    0.000    0.000    0.000    0.000 {sys.getfilesystemencoding}
       17    0.000    0.000    0.000    0.000 group.py:228(__setitem__)
      148    0.000    0.000    0.000    0.000 fitpack2.py:190(_set_class)
     1202    0.000    0.000    0.000    0.000 files.py:238(__enter__)
     1074    0.000    0.000    0.000    0.000 index_tricks.py:504(__iter__)
       17    0.000    0.000    0.000    0.000 {h5py.h5o.link}
       18    0.000    0.000    0.000    0.000 base.py:101(get_lcpl)
        1    0.000    0.000    0.000    0.000 group.py:34(create_group)
       17    0.000    0.000    0.000    0.000 {h5py.h5t.py_create}
       18    0.000    0.000    0.000    0.000 {method 'copy' of 'h5py.h5p.PropInstanceID' objects}
        1    0.000    0.000    0.000    0.000 {h5py.h5g.create}
        6    0.000    0.000    0.000    0.000 {method 'set_chunk' of 'h5py.h5p.PropDCID' objects}
       18    0.000    0.000    0.000    0.000 {method 'set_char_encoding' of 'h5py.h5p.PropLCID' objects}
       34    0.000    0.000    0.000    0.000 filters.py:86(rq_tuple)
       16    0.000    0.000    0.000    0.000 filters.py:296(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'set_fill_value' of 'h5py.h5p.PropDCID' objects}
       29    0.000    0.000    0.000    0.000 {any}
        6    0.000    0.000    0.000    0.000 {method 'set_fill_time' of 'h5py.h5p.PropDCID' objects}
       24    0.000    0.000    0.000    0.000 dataset.py:111(<genexpr>)
        2    0.000    0.000    0.000    0.000 {method 'set_deflate' of 'h5py.h5p.PropDCID' objects}
        1    0.000    0.000    0.000    0.000 {cv2.VideoCapture}
       16    0.000    0.000    0.000    0.000 filters.py:256(<genexpr>)
       18    0.000    0.000    0.000    0.000 base.py:85(_lcpl)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}


